U	C
V	F
-6.5	5.45E-11
-6.4	5.48E-11
-6.3	5.51E-11
-6.2	5.54E-11
-6.1	5.57E-11
-6	5.60E-11
-5.9	5.64E-11
-5.8	5.67E-11
-5.7	5.70E-11
-5.6	5.74E-11
-5.5	5.77E-11
-5.4	5.81E-11
-5.3	5.85E-11
-5.2	5.89E-11
-5.1	5.92E-11
-5	5.96E-11
-4.9	6.00E-11
-4.8	6.05E-11
-4.7	6.09E-11
-4.6	6.13E-11
-4.5	6.18E-11
-4.4	6.22E-11
-4.3	6.27E-11
-4.2	6.31E-11
-4.1	6.36E-11
-4	6.41E-11
-3.9	6.46E-11
-3.8	6.52E-11
-3.7	6.57E-11
-3.6	6.63E-11
-3.5	6.69E-11
-3.4	6.75E-11
-3.3	6.81E-11
-3.2	6.87E-11
-3.1	6.94E-11
-3	7.01E-11
-2.9	7.08E-11
-2.8	7.15E-11
-2.7	7.23E-11
-2.6	7.31E-11
-2.5	7.39E-11
-2.4	7.48E-11
-2.3	7.57E-11
-2.2	7.66E-11
-2.1	7.76E-11
-2	7.87E-11
-1.9	7.98E-11
-1.8	8.10E-11
-1.7	8.23E-11
-1.6	8.37E-11
-1.5	8.51E-11
-1.4	8.67E-11
-1.3	8.84E-11
-1.2	9.02E-11
-1.1	9.23E-11
-1	9.45E-11
-0.9	9.69E-11
-0.8	9.97E-11
-0.7	1.03E-10
-0.6	1.06E-10
-0.5	1.10E-10
-0.4	1.15E-10
-0.3	1.20E-10
-0.2	1.27E-10
-0.1	1.34E-10
0	1.44E-10
